,SIDM00680,SIDM00571,SIDM00301,SIDM01062,SIDM00943,SIDM00870,SIDM01037,SIDM01188,SIDM01002,SIDM00833,SIDM00562,SIDM00534,SIDM00789,SIDM00371,SIDM00633,SIDM00928,SIDM00630,SIDM00776,SIDM00670,SIDM00217,SIDM01186,SIDM00950,SIDM00879,SIDM00488,SIDM00136,SIDM00934,SIDM00193,SIDM01138,SIDM00834,SIDM00469,SIDM00839,SIDM00359,SIDM00537,SIDM00214,SIDM00841,SIDM00531,SIDM00148,SIDM00954,SIDM01135,SIDM01165,SIDM00541,SIDM00216,SIDM00772,SIDM00629,SIDM00874,SIDM00826,SIDM00487,SIDM00812,SIDM00957,SIDM01233,SIDM00272,SIDM00241,SIDM00881,SIDM01137,SIDM00533,SIDM00782,SIDM00971,SIDM00940,SIDM00097,SIDM00777,SIDM00582,SIDM00146,SIDM00835,SIDM00664,SIDM00673,SIDM00898,SIDM00529,SIDM00132,SIDM00933,SIDM00130,SIDM01042,SIDM00282,SIDM00885,SIDM01197,SIDM00122,SIDM01096,SIDM00628,SIDM00053,SIDM00944,SIDM00527,SIDM00049,SIDM00832,SIDM00631,SIDM00135,SIDM00882,SIDM00872,SIDM00583,SIDM01187,SIDM00774,SIDM00781,SIDM00842,SIDM00505,SIDM00884,SIDM00042,SIDM00677,SIDM00893,SIDM00899,SIDM00411,SIDM00837,SIDM00875,SIDM00118,SIDM00681,SIDM00866,SIDM00498,SIDM00963,SIDM00877,SIDM01056,SIDM00892,SIDM00150,SIDM00660,SIDM00778,SIDM01139,SIDM00528,SIDM01090,SIDM00455,SIDM00779,SIDM00783,SIDM00675,SIDM00878,SIDM01001,SIDM00938,SIDM01136,SIDM00332,SIDM00453,SIDM00920
SIDM00562,0.9218486,0.913006,0.9133579,0.91939896,0.91974646,0.9161793,0.92008716,0.8929013,0.9241598,0.9037237,1.0,0.9274302,0.9269011,0.91663724,0.9122727,0.92897403,0.9088448,0.9197386,0.9135304,0.91575086,0.9129217,0.91012514,0.8887712,0.91094315,0.9232262,0.9167719,0.9310461,0.9301667,0.91374713,0.91220397,0.91542983,0.91708344,0.92307854,0.9258034,0.91255605,0.9289192,0.90896976,0.90258354,0.9221137,0.9211645,0.91979265,0.92580575,0.9257978,0.90658826,0.9109552,0.91313195,0.92776304,0.9160009,0.91067934,0.89839804,0.9227053,0.9214163,0.89791596,0.9300758,0.9231407,0.92859715,0.92722225,0.905711,0.9113861,0.9192912,0.9170811,0.9196335,0.91210353,0.90382814,0.91423976,0.91381973,0.87781256,0.91935116,0.89249915,0.91706175,0.92183226,0.9202135,0.9003689,0.91290104,0.9018359,0.92172194,0.9164682,0.9022382,0.9127658,0.8936782,0.92185783,0.93147194,0.90566355,0.89450526,0.90448576,0.91081643,0.9079647,0.91082615,0.9138055,0.89778537,0.8885811,0.9175715,0.9031235,0.9118214,0.9238115,0.90759534,0.9142247,0.9091423,0.91680497,0.9121236,0.923983,0.9055318,0.90300775,0.92346776,0.91872954,0.89217335,0.9140514,0.9163469,0.9039988,0.92090946,0.91245997,0.9262362,0.92616373,0.9201969,0.92205095,0.8814642,0.9226074,0.88478446,0.90583694,0.8734332,0.9226082,0.9229514,0.90295684,0.91850555,0.9186868
SIDM00534,0.935593,0.92186797,0.920189,0.927709,0.9297159,0.92030185,0.92735326,0.90069586,0.9298613,0.9110017,0.9274302,1.0,0.9371393,0.92675525,0.9180031,0.93970454,0.91381305,0.9295006,0.92222846,0.9238099,0.9171762,0.9175207,0.8906004,0.91933346,0.9362448,0.9269326,0.9438723,0.9412425,0.9240268,0.9190483,0.9250999,0.92855936,0.9338736,0.9357984,0.9210975,0.9403004,0.9127187,0.9019548,0.9316229,0.9296665,0.9321278,0.93640566,0.93112254,0.9125572,0.9171717,0.9237539,0.94170725,0.9257446,0.9179167,0.90615565,0.92648894,0.9196688,0.8994968,0.9413204,0.93256724,0.9417293,0.9332743,0.91171175,0.9142474,0.9317405,0.9254869,0.9274242,0.92533046,0.91067773,0.92168117,0.91553533,0.87972146,0.9284001,0.8970458,0.927296,0.9203504,0.9303308,0.90434796,0.9258819,0.90651363,0.93284357,0.92190474,0.9084308,0.9229658,0.8983659,0.93522686,0.94635993,0.907402,0.89956146,0.9073974,0.91676706,0.9097432,0.9131585,0.9179158,0.90408653,0.8919882,0.9234792,0.9084859,0.918579,0.93939096,0.91194314,0.926637,0.9161737,0.9257356,0.91685504,0.93880683,0.9163283,0.9096178,0.9328259,0.92386776,0.8948097,0.91773105,0.92054546,0.9119915,0.9312521,0.92220086,0.9375728,0.9283109,0.9277804,0.93231905,0.88619864,0.93180436,0.88822484,0.90971005,0.87752765,0.9257585,0.9331936,0.9041985,0.9247972,0.9228699
SIDM00789,0.9361847,0.92226243,0.9216323,0.926333,0.92926276,0.92123514,0.9276984,0.90160924,0.92963177,0.9151956,0.9269011,0.9371393,1.0,0.92644715,0.9184926,0.9350679,0.9133797,0.9277164,0.920587,0.9235209,0.9164788,0.9162769,0.89210117,0.9225011,0.93519616,0.9263078,0.940418,0.93752885,0.9195733,0.91855526,0.92391783,0.92600346,0.9358095,0.93518054,0.9239286,0.9374902,0.91387147,0.9050989,0.9318978,0.9285504,0.93117297,0.9352481,0.9299645,0.91299456,0.9188955,0.92389244,0.9386755,0.9244558,0.92168456,0.9076122,0.9272556,0.9219558,0.90070057,0.93812925,0.93086267,0.9366865,0.9339428,0.91192794,0.9163696,0.9281609,0.9256744,0.92715937,0.92326206,0.90991163,0.9209394,0.91542387,0.88234806,0.9262537,0.8996492,0.9253174,0.9226106,0.92869055,0.907153,0.92233974,0.90607417,0.92942715,0.9229393,0.91178036,0.9223432,0.899957,0.9319287,0.94402647,0.9090411,0.9002785,0.90836585,0.91696376,0.91137165,0.9176066,0.91805923,0.90704316,0.89502716,0.924314,0.91022855,0.9218151,0.93505436,0.9126559,0.92249626,0.91873705,0.9295641,0.91911453,0.938401,0.91467893,0.9109112,0.93462914,0.9240198,0.8957216,0.9187832,0.92205584,0.91087395,0.9300349,0.92172235,0.9346239,0.9315514,0.93008643,0.9300513,0.8854745,0.9344876,0.8905039,0.91010916,0.87953144,0.92820066,0.9313702,0.9086467,0.9257236,0.9236675
SIDM00371,0.9227617,0.9185079,0.91491026,0.9196134,0.92328215,0.912623,0.919627,0.8965902,0.9208458,0.9115611,0.91663724,0.92675525,0.92644715,1.0,0.91173697,0.9283387,0.9072282,0.9205788,0.9166737,0.9140467,0.9100188,0.91143966,0.8865395,0.9136944,0.9274197,0.9196178,0.93050915,0.9303376,0.91688275,0.9150908,0.91588,0.91955227,0.9220932,0.92253065,0.9132337,0.9300718,0.9063892,0.89715666,0.9227658,0.9219646,0.9196944,0.9240013,0.9216667,0.9070075,0.91067433,0.91607726,0.9250689,0.9168448,0.91303086,0.8994009,0.917557,0.9136196,0.8940854,0.9305595,0.9233892,0.92863554,0.92421764,0.9071792,0.90841806,0.92124075,0.9190846,0.92095923,0.92015606,0.90741175,0.91468316,0.9075264,0.8767846,0.9198564,0.8944506,0.9218,0.9129256,0.91799366,0.89797604,0.91457343,0.9012687,0.9213234,0.91437,0.9109236,0.91323006,0.89577746,0.92149544,0.93036234,0.902071,0.8973231,0.90188247,0.9097873,0.9067334,0.91044366,0.91032755,0.8977646,0.8864441,0.9159232,0.9034645,0.91650695,0.9235893,0.9057165,0.9251508,0.91531384,0.9164833,0.91023785,0.92355645,0.907091,0.9036668,0.92583156,0.9153803,0.889583,0.91073376,0.9144098,0.90446985,0.92023677,0.9141545,0.92762476,0.92243826,0.92067474,0.92240316,0.88195854,0.9233219,0.8855587,0.90390056,0.8734156,0.91739064,0.9248304,0.8991655,0.9174103,0.9151365
SIDM00633,0.912657,0.9105217,0.9099356,0.91757137,0.91837823,0.9150837,0.9168486,0.895583,0.9221599,0.898634,0.9122727,0.9180031,0.9184926,0.91173697,1.0,0.9254426,0.9092726,0.91798896,0.9131444,0.9104396,0.91240084,0.9074312,0.8875952,0.90506065,0.9168015,0.91573036,0.92219776,0.92596924,0.906467,0.9079636,0.9112867,0.9150861,0.91414607,0.9167938,0.90328825,0.9262939,0.90687793,0.8916482,0.91917855,0.9169894,0.9126483,0.91624635,0.92425984,0.9034717,0.91015345,0.9075419,0.91881144,0.9132207,0.91181785,0.89320874,0.9183988,0.9086491,0.8949469,0.926268,0.9193193,0.9246902,0.92287153,0.90142196,0.91050816,0.9177764,0.9163286,0.91530323,0.9082639,0.9010409,0.91228855,0.909677,0.8747712,0.91638273,0.89013,0.9161008,0.9083144,0.91429204,0.89467126,0.90675944,0.8968449,0.91902816,0.91334593,0.89732766,0.909477,0.8894926,0.9148824,0.92217475,0.89865196,0.89220816,0.90489125,0.90934896,0.89637357,0.90894747,0.90968466,0.8901572,0.88019097,0.91168934,0.8998839,0.9059586,0.9164652,0.9057539,0.91347164,0.90576303,0.9088256,0.90454876,0.9143457,0.90368015,0.90147585,0.9168377,0.91590554,0.8888803,0.91137314,0.9177689,0.900841,0.91605175,0.91069424,0.92463493,0.9190665,0.911268,0.91806006,0.87827176,0.91475725,0.8840867,0.9019972,0.8734934,0.9174465,0.9202335,0.89702636,0.9120631,0.9149518
SIDM00928,0.92702144,0.9264036,0.9254031,0.94173783,0.93665314,0.92703897,0.9376378,0.90558094,0.93923265,0.90817803,0.92897403,0.93970454,0.9350679,0.9283387,0.9254426,1.0,0.92103934,0.9403887,0.929529,0.9251142,0.9237356,0.9232456,0.89243436,0.9197059,0.93357635,0.9311625,0.9444036,0.9577737,0.92190707,0.923625,0.92567986,0.9337088,0.9298114,0.93548465,0.917151,0.9527052,0.9174834,0.9014346,0.93722343,0.9371415,0.92960453,0.9351363,0.94084716,0.91767895,0.9231719,0.9208966,0.93962544,0.9301974,0.92182326,0.904178,0.932404,0.92033416,0.90312225,0.95529884,0.9422962,0.9490775,0.93922436,0.91681397,0.9192893,0.9365189,0.9335083,0.9356207,0.92292786,0.91541994,0.9286446,0.9208775,0.88273245,0.93769914,0.8978375,0.93577695,0.9205907,0.9319674,0.9060473,0.91979885,0.9123759,0.93759096,0.9302249,0.9058625,0.9248494,0.90113974,0.93232983,0.9434498,0.90791744,0.90630025,0.9111976,0.9214087,0.9100226,0.91714674,0.92413193,0.89881593,0.88998735,0.929624,0.9129851,0.9174071,0.93530256,0.9180696,0.92962164,0.91772044,0.9240964,0.92099917,0.9295119,0.9166789,0.91349137,0.9357044,0.93008804,0.8963899,0.9233477,0.92705214,0.9111914,0.93347913,0.9258691,0.9514607,0.9341808,0.9287485,0.93940896,0.88780606,0.93296367,0.8915565,0.9149345,0.88008815,0.9319752,0.9403315,0.90426785,0.9292446,0.9279941
SIDM00630,0.90856785,0.90711933,0.9055926,0.9128069,0.912875,0.9101396,0.9113847,0.89140004,0.91800725,0.8947569,0.9088448,0.91381305,0.9133797,0.9072282,0.9092726,0.92103934,1.0,0.9137959,0.9097425,0.905714,0.90677154,0.90341693,0.8860252,0.90122455,0.91214484,0.910337,0.9174298,0.9213519,0.9026893,0.9036605,0.9076838,0.9112266,0.9093638,0.91212714,0.9004791,0.9207195,0.9024888,0.8877686,0.9145742,0.9126741,0.9083725,0.9117035,0.91747874,0.8989801,0.9053864,0.9038581,0.91435117,0.90874964,0.90572715,0.8901032,0.91442066,0.9052367,0.89344317,0.9208478,0.9144295,0.920232,0.91823316,0.8982867,0.9065657,0.91330105,0.91138774,0.9114039,0.90366375,0.8984952,0.90867907,0.9049317,0.87272465,0.9118209,0.8869973,0.9128218,0.9062766,0.91019565,0.8913723,0.9021992,0.89529645,0.91371936,0.90941864,0.8935817,0.90501803,0.885688,0.90984184,0.9167184,0.89462316,0.8900931,0.9008221,0.90479153,0.8938302,0.9014189,0.90531284,0.8875044,0.8776271,0.90835035,0.89754856,0.9015101,0.9116839,0.9012485,0.9089247,0.9005629,0.9048088,0.9015147,0.90967935,0.9001782,0.8991866,0.91254485,0.91149735,0.88550246,0.90786666,0.91036373,0.89831364,0.9121805,0.90641093,0.9196253,0.9139111,0.9069291,0.91347784,0.8771431,0.90998286,0.88115174,0.898419,0.8689323,0.91156703,0.9149788,0.89336437,0.9085074,0.91247785
SIDM00776,0.92047334,0.91968715,0.91863984,0.930067,0.92923963,0.91945523,0.9281024,0.9012144,0.92919314,0.9070016,0.9197386,0.9295006,0.9277164,0.9205788,0.91798896,0.9403887,0.9137959,1.0,0.92219967,0.9182323,0.91624224,0.91686183,0.88957465,0.9147601,0.92486924,0.92499906,0.9340997,0.9432751,0.9148914,0.9172272,0.92025495,0.9275816,0.92165965,0.92657804,0.91216743,0.93887293,0.91154265,0.8963596,0.93121994,0.93002206,0.92189926,0.9256154,0.9299084,0.9119529,0.92052513,0.9143272,0.9293289,0.92561275,0.918648,0.900101,0.92459786,0.9137674,0.8992966,0.9406341,0.93207407,0.9390808,0.9281679,0.9110945,0.9136367,0.92737406,0.92598206,0.92760855,0.91791433,0.9108505,0.92014563,0.9139667,0.88030756,0.92826945,0.8950789,0.92688304,0.91307414,0.92452896,0.90155745,0.913402,0.9057472,0.9287115,0.92282856,0.903633,0.9213808,0.89618653,0.9240464,0.93281025,0.9026333,0.89995956,0.90672165,0.91552466,0.9044233,0.9102528,0.9165002,0.895756,0.8860261,0.9219632,0.9076115,0.91402423,0.9267045,0.91234857,0.9228162,0.91288775,0.91769445,0.91284096,0.92335063,0.9134247,0.9092986,0.9280096,0.92183316,0.89360696,0.91627395,0.9199876,0.90774333,0.92572105,0.924397,0.9383446,0.9249688,0.9205668,0.93069965,0.88404036,0.9240805,0.8883488,0.90892756,0.87673223,0.9231145,0.9319551,0.8993519,0.9233,0.92111707
SIDM00670,0.91673225,0.91518456,0.9137709,0.9216244,0.92532897,0.9135532,0.9170219,0.8984664,0.92209864,0.90178746,0.9135304,0.92222846,0.920587,0.9166737,0.9131444,0.929529,0.9097425,0.92219967,1.0,0.9126102,0.91202366,0.9110226,0.8881055,0.9087986,0.9197946,0.92166585,0.92569613,0.932079,0.9109592,0.9124712,0.9171309,0.9211925,0.9172874,0.91953117,0.90697956,0.9307358,0.9069183,0.8931664,0.92440784,0.92192525,0.915821,0.9197717,0.92271525,0.9050781,0.9135257,0.90965056,0.9220919,0.9165451,0.9143965,0.8945677,0.9195657,0.9090857,0.89530545,0.93171203,0.92415226,0.93038476,0.9215801,0.90458786,0.9104323,0.9237739,0.92173237,0.91896766,0.9112055,0.9070164,0.91613793,0.90821606,0.87678456,0.91986203,0.8945771,0.9237884,0.90862614,0.9156954,0.8953188,0.9086024,0.8998455,0.9233229,0.914744,0.90155333,0.9133591,0.89045745,0.9171317,0.9250304,0.8976673,0.89472955,0.90396494,0.9107982,0.89968574,0.9052002,0.9117566,0.89341605,0.8820826,0.9159595,0.90348095,0.9114393,0.92008066,0.90706253,0.9215558,0.9071872,0.9128969,0.906801,0.9180105,0.90755713,0.9066612,0.92151004,0.916533,0.89297956,0.91157407,0.915004,0.90900797,0.92107356,0.9151979,0.9318466,0.9169253,0.91477025,0.92305815,0.8804437,0.91834456,0.88509375,0.9047545,0.87404454,0.91580606,0.926175,0.8947536,0.9163682,0.9155888
SIDM00217,0.9193134,0.9123266,0.9130846,0.9163108,0.91915506,0.9123708,0.9182846,0.8943048,0.9200584,0.9016392,0.91575086,0.9238099,0.9235209,0.9140467,0.9104396,0.9251142,0.905714,0.9182323,0.9126102,1.0,0.90922433,0.9098933,0.8866666,0.90769166,0.9194549,0.9177731,0.92829365,0.92724013,0.9101143,0.91267973,0.9183858,0.91733,0.9192811,0.92290974,0.90945846,0.9274044,0.9064354,0.89500594,0.9217545,0.92083645,0.9158958,0.9223057,0.9212613,0.90625566,0.9109278,0.9102819,0.9242143,0.9164147,0.91124177,0.8960956,0.9185486,0.909566,0.8944799,0.92721236,0.9217181,0.92732185,0.91979647,0.90531164,0.9079885,0.9202679,0.91633886,0.9180203,0.91027164,0.9042167,0.9128449,0.90779614,0.87680703,0.91838735,0.8937824,0.91659236,0.9090752,0.9227805,0.8963887,0.91161,0.90063524,0.92217517,0.913814,0.8975049,0.9142425,0.89064956,0.9192852,0.92690843,0.89799887,0.8939024,0.90194494,0.9091956,0.9005923,0.9051676,0.9109957,0.8949717,0.8855357,0.9161365,0.90267634,0.9066646,0.9204212,0.90528613,0.9140941,0.9067284,0.9130227,0.9072277,0.9206198,0.9079212,0.90374756,0.9202621,0.9156809,0.89093435,0.91097116,0.9132657,0.9050229,0.9214927,0.9123072,0.92369926,0.91889054,0.9161086,0.9213792,0.88094115,0.9186694,0.88556397,0.9045666,0.87382036,0.91876775,0.9220248,0.89599085,0.9178789,0.9153233
SIDM01186,0.9113401,0.90939677,0.9090457,0.9154364,0.91603696,0.9139864,0.91491055,0.8916947,0.92078143,0.8974527,0.9129217,0.9171762,0.9164788,0.9100188,0.91240084,0.9237356,0.90677154,0.91624224,0.91202366,0.90922433,1.0,0.90702325,0.88787615,0.903428,0.91448194,0.91356546,0.920839,0.92415774,0.9061903,0.9067811,0.91144305,0.9139592,0.9131451,0.9151282,0.90308714,0.9239035,0.90755093,0.89093906,0.9184015,0.9159321,0.91103125,0.91511583,0.92188215,0.9026893,0.90951127,0.9053772,0.917959,0.9123195,0.90964395,0.89289916,0.91854024,0.9101968,0.8966913,0.92409927,0.9174645,0.9242029,0.91915727,0.90065604,0.90876776,0.91596556,0.9136568,0.9141978,0.9064954,0.9001078,0.9123521,0.91182953,0.8743887,0.9135746,0.8898613,0.91401225,0.90890574,0.91300565,0.89302146,0.90488124,0.8968777,0.9177456,0.9126945,0.89518553,0.907877,0.8869606,0.9126508,0.9205578,0.89741737,0.8908427,0.90550727,0.9098984,0.89721644,0.9059962,0.90916127,0.8900353,0.87982535,0.91119015,0.899865,0.9041133,0.91428137,0.9060662,0.91222185,0.90345436,0.90740806,0.9027675,0.91342896,0.90267044,0.9017366,0.9147294,0.9157024,0.8906906,0.91044486,0.9146452,0.9020417,0.9166511,0.9098628,0.92228395,0.9183816,0.90995127,0.9170494,0.87873816,0.91305214,0.8825784,0.9018557,0.871293,0.91509104,0.9187022,0.8938939,0.9129771,0.91436696
SIDM00950,0.9111967,0.9103006,0.9103075,0.9150487,0.9180301,0.90860623,0.9158114,0.8942067,0.9161464,0.89808446,0.91012514,0.9175207,0.9162769,0.91143966,0.9074312,0.9232456,0.90341693,0.91686183,0.9110226,0.9098933,0.90702325,1.0,0.88384247,0.90543675,0.9144239,0.9147952,0.92102164,0.9261499,0.90474105,0.912762,0.91151047,0.91391516,0.91200995,0.9144527,0.90600437,0.92530745,0.90347564,0.89031196,0.91968244,0.9202369,0.91040194,0.91470027,0.9170526,0.9042573,0.9091199,0.90536875,0.9177213,0.9129868,0.9088923,0.8918856,0.91432655,0.9058978,0.89264727,0.9249585,0.91953075,0.9238251,0.91504234,0.9028621,0.90489906,0.9159101,0.9150717,0.91783327,0.9063319,0.90714645,0.91082025,0.9049096,0.8747601,0.92117065,0.88967735,0.9158368,0.9041289,0.91345876,0.8923679,0.90444213,0.89792955,0.91713214,0.91130424,0.8958086,0.9097229,0.8901845,0.9131434,0.9208846,0.89381915,0.89254206,0.8984004,0.90725905,0.89889324,0.9008425,0.9070254,0.8895371,0.8802591,0.9126402,0.900523,0.9060334,0.91456133,0.90375453,0.91223407,0.9077126,0.90732133,0.9060359,0.91389215,0.903178,0.9013566,0.9149891,0.9118292,0.8878716,0.90689635,0.909822,0.9012776,0.91598284,0.9117204,0.92292565,0.9143364,0.91265506,0.9204761,0.87924635,0.91400355,0.8829057,0.90125906,0.8722697,0.91282284,0.92332697,0.8923136,0.9156202,0.91053194
SIDM00879,0.8896619,0.8868865,0.88780946,0.888834,0.8919545,0.8918858,0.88877726,0.8734062,0.89382714,0.878827,0.8887712,0.8906004,0.89210117,0.8865395,0.8875952,0.89243436,0.8860252,0.88957465,0.8881055,0.8866666,0.88787615,0.88384247,1.0,0.8826888,0.8899,0.88982695,0.89329344,0.89373314,0.8820775,0.88439363,0.88891345,0.8885546,0.8898519,0.89069676,0.8834911,0.89472955,0.8893543,0.8745721,0.893249,0.8913042,0.88678765,0.8911264,0.8941829,0.88098305,0.88689584,0.883859,0.89158213,0.88788444,0.8894648,0.8732975,0.8950511,0.8885501,0.8855743,0.89372593,0.8911926,0.89486164,0.8934706,0.8823071,0.89280695,0.8907939,0.89114845,0.889668,0.88203514,0.8803265,0.8891161,0.8852951,0.86436766,0.8871811,0.87600404,0.88889116,0.88716125,0.88884616,0.8763844,0.88329756,0.87795657,0.89124286,0.88898325,0.87709904,0.88523924,0.8703371,0.8881864,0.8933134,0.8807802,0.8720626,0.8862838,0.88696164,0.8777162,0.88307005,0.88669086,0.87433785,0.8656677,0.8878715,0.88119835,0.8828353,0.88909984,0.8833999,0.8875444,0.881896,0.884026,0.88151073,0.8903765,0.8812881,0.8830623,0.8892816,0.89351106,0.8757423,0.8895541,0.89680463,0.88477117,0.891828,0.8878302,0.8934985,0.89362377,0.8869475,0.89065486,0.8647087,0.88873357,0.87031746,0.881945,0.85728055,0.89237183,0.8921974,0.8780424,0.8900554,0.89507043
SIDM00488,0.9174508,0.91063285,0.9083604,0.9130767,0.9175239,0.90727097,0.91435665,0.895051,0.9137744,0.9042732,0.91094315,0.91933346,0.9225011,0.9136944,0.90506065,0.9197059,0.90122455,0.9147601,0.9087986,0.90769166,0.903428,0.90543675,0.8826888,1.0,0.91876245,0.91380364,0.9201033,0.92246175,0.90400934,0.90657973,0.90809685,0.91125935,0.91694516,0.91818726,0.91098404,0.922306,0.9007666,0.8963411,0.9183912,0.9157739,0.9140407,0.9186601,0.91347426,0.90262765,0.9087957,0.91061586,0.9187051,0.90989125,0.9085951,0.89645326,0.9115346,0.9093568,0.8907787,0.9224147,0.91676176,0.9189427,0.9176983,0.9033872,0.90295637,0.9120759,0.91560507,0.9146774,0.91140187,0.9015295,0.9100823,0.902636,0.87522894,0.9139377,0.89036596,0.9146392,0.9072025,0.9110322,0.89895713,0.9091784,0.89651084,0.91321135,0.9117896,0.9072134,0.9075862,0.891844,0.91573036,0.9235227,0.89906245,0.8921547,0.89647096,0.9068177,0.9015217,0.90530056,0.90456414,0.8969178,0.885325,0.90930855,0.8995718,0.91277933,0.9173259,0.90208536,0.9095843,0.90868014,0.9133503,0.90848875,0.9200496,0.8998857,0.90347594,0.9194321,0.90935135,0.88750064,0.90464133,0.9081926,0.8981175,0.91258246,0.91131306,0.91873527,0.91427076,0.91462433,0.91557485,0.8762266,0.9176538,0.88487244,0.9000244,0.8705106,0.9120101,0.9183694,0.8957637,0.9130808,0.9094744
SIDM00136,0.9325278,0.92038167,0.9176893,0.92362005,0.92717606,0.9183239,0.92409444,0.9000143,0.9272373,0.91228503,0.9232262,0.9362448,0.93519616,0.9274197,0.9168015,0.93357635,0.91214484,0.92486924,0.9197946,0.9194549,0.91448194,0.9144239,0.8899,0.91876245,1.0,0.92435825,0.9362596,0.93537927,0.92087555,0.9170432,0.91987795,0.9245206,0.9307268,0.93077165,0.92120403,0.93565536,0.91065127,0.90067035,0.92823005,0.92535144,0.92997175,0.93308926,0.92759913,0.9094024,0.91518176,0.9251287,0.93485314,0.9219039,0.9179163,0.9053661,0.92370135,0.9187499,0.8979087,0.93613374,0.92762345,0.9346473,0.93221223,0.90915275,0.9125554,0.9284665,0.92353815,0.9234038,0.92278534,0.9087886,0.91929406,0.91322505,0.8782889,0.9250789,0.89591753,0.9246829,0.91978,0.92499393,0.9037977,0.92460823,0.90335375,0.9276143,0.9196174,0.91070104,0.91840327,0.8974988,0.93100923,0.9413511,0.9063551,0.89771867,0.9063658,0.9144096,0.90847665,0.9127445,0.9149152,0.9032816,0.8910614,0.91963243,0.9057435,0.91990185,0.93328327,0.9103287,0.9245109,0.9164613,0.92302805,0.9152124,0.9345089,0.9133473,0.90707964,0.9301925,0.92145586,0.8926966,0.915971,0.91948056,0.90891105,0.92745066,0.91940874,0.9327565,0.9269267,0.92592746,0.92746204,0.8851958,0.9294038,0.8875606,0.90724117,0.8768955,0.9239224,0.930015,0.9037602,0.920795,0.91998327
SIDM00934,0.92029905,0.9191099,0.9174141,0.92314214,0.92781794,0.9174775,0.92211694,0.90255517,0.92498714,0.90599114,0.9167719,0.9269326,0.9263078,0.9196178,0.91573036,0.9311625,0.910337,0.92499906,0.92166585,0.9177731,0.91356546,0.9147952,0.88982695,0.91380364,0.92435825,1.0,0.9300254,0.93448204,0.91266006,0.9169405,0.92004514,0.9229359,0.92114705,0.9235965,0.912217,0.9344243,0.91070586,0.89616805,0.9288723,0.9256517,0.9190491,0.9242522,0.92497444,0.90973425,0.9174554,0.91410667,0.9271337,0.9201748,0.9171958,0.89872783,0.92214924,0.9119937,0.8985837,0.93361235,0.928247,0.9325567,0.9238372,0.90770143,0.91324025,0.9256512,0.9246361,0.92264146,0.914823,0.9075233,0.9185557,0.91156214,0.8797375,0.9232735,0.8965113,0.92541397,0.91139406,0.9224538,0.8989198,0.91305256,0.90223575,0.9265254,0.9189576,0.904587,0.9177659,0.893467,0.9218917,0.93030727,0.9013489,0.89664596,0.9051199,0.91392964,0.90278906,0.9088474,0.913789,0.8962997,0.88562745,0.9194893,0.906915,0.9132262,0.9232765,0.91021055,0.9216843,0.91260135,0.9155815,0.9104363,0.92310184,0.9104226,0.9090549,0.92373776,0.91926056,0.89517903,0.9142205,0.918155,0.910291,0.9251109,0.9185635,0.93216026,0.9217848,0.9184702,0.92648286,0.88314074,0.922502,0.8892574,0.9074492,0.87677234,0.92084813,0.93041515,0.8986881,0.92124355,0.9184822
SIDM00193,0.93453807,0.9244449,0.92439723,0.9316337,0.9336718,0.92468584,0.93180114,0.9022699,0.93484783,0.9161613,0.9310461,0.9438723,0.940418,0.93050915,0.92219776,0.9444036,0.9174298,0.9340997,0.92569613,0.92829365,0.920839,0.92102164,0.89329344,0.9201033,0.9362596,0.9300254,1.0,0.9463456,0.92756677,0.92276794,0.9281158,0.93075764,0.934616,0.9388444,0.9219404,0.9447498,0.91677403,0.90500206,0.93632185,0.9341911,0.9320452,0.93898946,0.93672746,0.9163782,0.9215115,0.925125,0.9435332,0.9298543,0.92214924,0.9064546,0.93248576,0.9245883,0.9030039,0.9467544,0.9373163,0.94599885,0.93670666,0.9143414,0.91843396,0.93398374,0.9288947,0.93192977,0.92810184,0.9138766,0.9256134,0.91951174,0.88238025,0.9333985,0.89965606,0.93026376,0.92285305,0.9345339,0.90746623,0.9248732,0.91005725,0.93712914,0.926879,0.9102931,0.92602944,0.9002488,0.93554664,0.9456787,0.90986794,0.9024808,0.911289,0.92049074,0.91290855,0.91837937,0.92198944,0.9049759,0.8923872,0.9286224,0.9120992,0.92102206,0.93865484,0.9160356,0.9284643,0.9216702,0.9278794,0.9189705,0.93988305,0.9180144,0.9129621,0.93912715,0.92844796,0.89730287,0.921878,0.9250889,0.9136073,0.9346908,0.92466855,0.9421632,0.93633926,0.93027014,0.9361378,0.88854694,0.9333509,0.8914399,0.9134626,0.8803233,0.9318181,0.9380509,0.9070797,0.9297873,0.92762184
