compounds,targets
D00YWZ,T80975
D03HQK,T80975
D07NOI,T80975
D04RQU,T80975
D0D3YL,T80975
D0BM4F,T80975
D0J2XD,T80975
D0ST4P,T80975
D0V9DQ,T80975
D09AKX,T80975
D08JSJ,T80975
D07SRX,T80975
D0J3OZ,T80975
D0Q4EQ,T80975
D0EE6A,T80975
D0H4GI,T80975
D00GVV,T80975
D0Z8TR,T80975
D0FD6D,T80975
D0F5JZ,T80975
D0IX7Y,T80975
D0BL0O,T57700
D09TAB,T57700
D05WTI,T59102
D09AAK,T57700
D0G5YI,T59102
D08ZWJ,T57700
D05SNG,T59102
D06ZUA,T59102
D0H7MF,T59102
D0Z3DW,T59102
D0L0MZ,T59102
D03VAA,T59102
D02OBA,T59102
D08JGS,T59102
D0I7QX,T59102
D07AXL,T59102
D0UN9O,T57700
D0UN9O,T59102
D0I3XZ,T57700
D0I3XZ,T59102
D01FWD,T59102
D05QBZ,T57700
D05QBZ,T59102
D01MUN,T59102
D0XS9E,T59102
D0ZS3F,T59102
D0K9VE,T59102
D05FFB,T57700
D0G0KQ,T59102
D0IR5I,T59102
D0H9TO,T59102
D00YCU,T59102
D0Q3DS,T59102
D07ZWN,T59102
D05GBY,T59102
D0GN3E,T59102
D0QT4X,T59102
D07JDY,T59102
D0Z4HV,T59102
D0CF9B,T59102
D0D7ZL,T59102
D09OLH,T59102
D02CUF,T59102
D02QBH,T59102
D01UYS,T59102
D03IPZ,T59102
D03WTT,T59102
D0H4JB,T59102
D0K3CJ,T59102
D03MQI,T59102
D03FCU,T59102
D0VJ5W,T59102
D01XDV,T59102
D0R8BC,T59102
D08SUH,T59102
D09QTC,T59102
D0C2KK,T59102
D0YE1X,T59102
D0F1RU,T59102
D0SG0G,T59102
D0G0KN,T59102
D07CFT,T59102
D0T4SL,T57700
D0P0WT,T59102
D0RD5S,T59102
D06VNR,T59102
D0WW8M,T59102
D06LLF,T59102
D0P0RD,T59102
D0CW1Q,T59102
D0I0GL,T59102
D0A6YP,T59102
D0AO6T,T59102
D02PZZ,T59102
D0V8QI,T59102
D04PQX,T59102
D0G0ZQ,T59102
D0FH3M,T59102
D0W7IN,T59102
D0W9BF,T59102
D06MCJ,T59102
D0C1BE,T59102
D0G6SA,T59102
D00RBV,T59102
D0T9FQ,T59102
D02XKJ,T59102
D0K2YG,T59102
D08KWL,T59102
D0K9ON,T59102
D00QPG,T59102
D0Y1CJ,T59102
D09PUW,T59102
D0U3WQ,T59102
D0A6AA,T59102
D00LRC,T59102
D0KF3N,T59102
D0H0EQ,T57700
D0YX2B,T59102
D0T1GF,T57700
D0BW4G,T59102
D0P6DJ,T59328
D0P6DJ,T80975
D0R6UV,T59328
D0R6UV,T80975
D0G6QF,T59328
D0G6QF,T80975
D0W5HK,T80975
D0W5HK,T57700
D0W5HK,T59102
D0W5HK,T59328
D00QCB,T59102
D07POC,T59328
D08CDI,T59328
D08CDI,T14597
D05UFG,T14597
D05UFG,T59328
D9FJ5V,T14597
D9FJ5V,T59328
D06XXH,T14597
D06XXH,T59328
D00YER,T14597
D00YER,T59328
D0F0ZE,T14597
D0F0ZE,T59328
D00NYJ,T14597
D00NYJ,T59328
D0U1ZV,T14597
D0U1ZV,T59328
D0A9OV,T14597
D0A9OV,T59328
D0U4FF,T14597
D0U4FF,T59328
D0Z4RC,T14597
D0Z4RC,T59328
DUW81M,T14597
DUW81M,T59328
D04HGN,T59328
D07CZM,T59328
D06UEK,T59328
D07YDE,T59328
D0P0JW,T59328
D08TPS,T59328
D0Y6MD,T59328
D00RMC,T59328
D0M4AV,T59328
D02RZL,T59328
D05MEY,T59328
D02BYZ,T59328
D0K7FY,T59328
D0J3EA,T59328
D09XZB,T59328
D06WRJ,T59328
D0O8GK,T59328
DDH8L6,T59328
D03BJB,T59328
D06BJG,T59328
D01WXV,T59328
D04LXG,T59328
D03CVQ,T59328
D0AH2V,T59328
D02RIG,T59328
D07IHD,T59328
D0NJ3Q,T59328
D0S3PO,T59328
D0Z2PC,T59328
D00WZG,T59328
D0K2VO,T59328
D0H3UI,T59328
D0B8DE,T59328
D0C9KC,T59328
D07GFF,T59328
D0X4OU,T59328
