compounds,targets
D03DGP,T81735
D00TUH,T81735
D00IRL,T81735
D0N2XO,T81735
D02PBS,T81735
D0O9OB,T81735
D06GNE,T81735
D03QQH,T81735
D04JGZ,T81735
D0B0QS,T81735
D0PO9X,T81735
D0QB9L,T81735
D0B4CJ,T81735
D05SGV,T81735
D0U7WU,T81735
D04RAW,T81735
D0XL6P,T81735
D0C8MK,T81735
D00HXZ,T81735
D0C3SJ,T81735
D0O3VF,T81735
D0M3RY,T81735
D01MXN,T81735
D00MCG,T81735
D0L3TX,T81735
D04SCD,T81735
D04ECT,T81735
D0JB6H,T81735
D0U9ZW,T81735
D0I1LR,T81735
D0K5VE,T81735
D03FTE,T81735
D0K7LZ,T81735
D06DAY,T81735
D0J7BH,T81735
D05SBJ,T81735
D07NSR,T81735
D0G4RG,T81735
D0H9DB,T81735
D0JH9J,T81735
D0Y7WU,T81735
D0Q5FJ,T81735
D0B9EZ,T81735
D0F6ZC,T81735
D0O5BC,T81735
D0V3XZ,T81735
D0I3IO,T81735
D0Z3CC,T81735
D0AG8B,T81735
D0N2LW,T81735
D0W3QB,T81735
D0V0SD,T81735
D0F5BD,T81735
D0LC5C,T81735
D02ZQS,T06093
D02ZQS,T51282
D01WIH,T51282
D0N1UU,T06093
D08YGE,T51282
D0S0VF,T51282
D03KKR,T51282
D08ZPO,T51282
D0G3DM,T06093
D0T0RV,T06093
D07UBK,T51282
D0Y8DT,T06093
D0L1UK,T51282
D0E1KS,T06093
D0CW9Q,T06093
D0CW9Q,T51282
D03CPB,T06093
D03CPB,T51282
D0DO1U,T06093
D0DO1U,T51282
D0V0KA,T06093
D0V0KA,T51282
D0U5UC,T06093
D01YWE,T51282
D04WYX,T51282
D0VK6S,T06093
D0VK6S,T51282
D0V6OK,T06093
D0V6OK,T51282
D00UET,T51282
D0U4LI,T06093
D0E9PE,T06093
D0R3MO,T06093
D0R3MO,T51282
D0YV6S,T06093
D0YV6S,T51282
D04XHJ,T31406
D0D5PL,T31406
D07FAF,T31406
D0Y9PK,T31406
D0I6VU,T67619
D0I6VU,T95913
D0H0SM,T31406
D0B7VP,T31406
D05CDF,T31406
D07PDQ,T31406
D0Y4TK,T31406
D0P0UV,T75243
D2B7WM,T75243
D00KTV,T75243
D0V7WS,T75243
D0U8GR,T75243
D02TCF,T75243
D0O3CV,T75243
D0ES1Q,T75243
D0K3QS,T75243
D0H5MX,T75243
D03LJR,T75243
D03FCF,T75243
D0J9PK,T75243
D0H2CM,T75243
D03DPZ,T75243
D0S5LO,T75243
D0H0HR,T75243
D0U8QH,T75243
D0K1VK,T75243
D07JKB,T75243
D09FBN,T75243
D0TC5H,T75243
D0Y1DR,T75243
D0F1SI,T75243
D0AH8Q,T75243
D09VHS,T75243
D00GQM,T75243
D0Z2UQ,T75243
D03IXK,T75243
D05EXN,T75243
D0H7XL,T75243
D0U3DP,T95913
D0U3DP,T75243
D0N5JZ,T95913
D0N5JZ,T75243
D03NJY,T95913
D03NJY,T75243
D0D8JB,T95913
D0D8JB,T75243
D0O6VZ,T95913
D0O6VZ,T75243
D0X7IN,T95913
D0X7IN,T75243
D01PGR,T95913
D01PGR,T75243
D06PWI,T95913
D03EZE,T95913
D03KAC,T95913
D04DBA,T95913
D03FIE,T95913
D0C3ZR,T95913
D0RU0O,T95913
D02WGD,T95913
D0I3LO,T95913
D0R2UG,T95913
D03DRM,T95913
D08NQM,T95913
D0L0ZC,T95913
D0TU7B,T95913
D0TU7B,T05031
D0TU7B,T75243
D0T3PW,T95913
D02CQL,T95913
D0KF9Q,T95913
D0P1JI,T95913
D0T5IN,T95913
D0AW5T,T95913
D00JIV,T95913
D07PMP,T95913
D0E6UZ,T95913
D0R1VU,T95913
D07MEX,T95913
D0O1LD,T95913
D0GW8X,T95913
D09SFV,T95913
D07BGC,T95913
D0W8XH,T95913
D05BPX,T95913
D01SSI,T95913
D01SSI,T05031
D06DNH,T95913
D06DNH,T05031
D03BHZ,T95913
D03BHZ,T05031
D0S5LD,T80276
D0S5LD,T95913
D05CBJ,T80276
D05CBJ,T95913
D05CBJ,T05031
D01QSO,T80276
D01QSO,T95913
D01QSO,T05031
D0VG0D,T75243
D0VG0D,T95913
D0UP1Z,T80276
D0UP1Z,T95913
D08QGT,T95913
D0Y0FE,T80276
D0Y0FE,T75243
D0H1WC,T80276
D0H1WC,T75243
D0G3MN,T05031
D0KJ2J,T05031
D0D0QA,T05031
D0W7HE,T80276
DYF2N4,T80276
DOR1I0,T80276
D0Y2NS,T80276
D0T0BY,T81735
D0T0BY,T75243
D0X7TB,T81735
D0X7TB,T75243
D0W1ST,T81735
D0W1ST,T95913
D0W1ST,T75243
D07APP,T81735
D07APP,T95913
D0R0TW,T81735
D0R0TW,T95913
D0R0TW,T05031
D00HSJ,T81735
D00HSJ,T95913
D00HSJ,T05031
D0LF0O,T48069
D06NMZ,T48069
D07HPJ,T48069
D0M3OR,T48069
D01GFX,T48069
D0W9KO,T48069
D0G6XS,T48069
D0L7MM,T48069
D03BHM,T48069
D01SJS,T48069
D07LUR,T48069
D0O0RY,T48069
D07ARN,T40474
D0A5RM,T12355
D0A5RM,T85799
D0A5RM,T58970
D0A5RM,T67619
D0A5RM,T94479
D01TBJ,T67619
D01TBJ,T40474
D7M8LI,T85943
D7M8LI,T40474
D07OJZ,T40474
D0U4JW,T40474
D0ZU5F,T40474
D1AD6L,T40474
D1TNJ2,T40474
D0S0GT,T40474
D06EGV,T40474
D0YT8P,T40474
DV3Y7F,T40474
D0U3SY,T56418
D0Y8UV,T40474
D01LCC,T40474
D04CUA,T40474
D0R8QG,T40474
D0PS7U,T40474
D0T8XD,T69128
D07OXC,T40474
D09PTP,T56418
D09AID,T56418
D0OK2N,T40474
D0H0LP,T56418
D0O7LU,T56418
D04DYC,T56418
D09GEK,T56418
D08PIE,T56418
D06PJW,T56418
D0G0BL,T40474
D0O9PQ,T56418
D05NFR,T69128
D05NFR,T56418
D0L9PA,T56418
D0N5XG,T40474
D0N8YJ,T69128
D0N8YJ,T56418
D0AF6O,T69128
D0AF6O,T56418
D0M8UO,T69128
D2KV8B,T69128
D0O0LS,T69128
D0O0LS,T56418
D08TVU,T56418
D0ZI1F,T40474
D0G4CS,T56418
D0S1II,T40474
D05OMT,T40474
D0T3TZ,T56418
D01HKZ,T56418
D00TBD,T40474
D02NZE,T56418
D0O6WV,T40474
D0RO9R,T40474
D0K5UF,T69128
D0K5UF,T56418
D0KX7I,T56418
D00EMH,T40474
D03ZBT,T40474
D03ZBT,T69128
D03ZBT,T56418
D7HZ3T,T40474
D0E1QI,T40474
D0LW0T,T40474
D04LVK,T56418
D00UZR,T85799
D00UZR,T89361
D08MXP,T85799
D08MXP,T89361
D0NV9O,T85799
D0P6JS,T85799
D00VBT,T85799
D0Y5RO,T85799
D04FHB,T85799
D0G4JS,T85799
D0IX4B,T85799
D02DLC,T85799
D07HPE,T85799
D0VD8B,T85799
D0O0VP,T85799
D0D5HQ,T85799
D0M8CO,T85799
D0T2VG,T85799
D0X1NW,T85799
D0DX4J,T85799
D0CI3C,T89361
D05IRT,T85799
D0W8IY,T85799
D0P1CV,T85799
D01UMT,T85799
D03VDM,T85799
D0FQ6V,T85799
D0J4ON,T89361
D0M5DX,T85799
D0M5DX,T89361
D09OAH,T85799
D09OAH,T89361
DKCU40,T85799
DKCU40,T89361
D0Z0KD,T85799
D0Z0KD,T89361
D01HVT,T85799
D01HVT,T89361
D0AP9E,T85799
D0AP9E,T89361
D05SBO,T85799
D05SBO,T89361
D0WU1O,T85799
D0WU1O,T89361
D07ESC,T85799
D07ESC,T89361
D03DKV,T85799
D03HED,T85799
D04WFN,T85799
D04AKA,T85799
D0LX6X,T85799
D0MF5Y,T89361
D00RIX,T89361
D01UYI,T89361
D0WT7D,T85799
D09RYV,T85799
D08KKC,T85799
D03EHM,T59328
D03EHM,T81735
D03EHM,T31406
D03EHM,T80975
D03EHM,T95913
D03EHM,T05031
D03EHM,T75243
D03EHM,T85943
D0DP3V,T97257
D0U3DX,T97257
D0C4WC,T97257
