ttid , smile
D01JQX , CCCCCCC(C)(C)C1=CC=C(C=C1)C2CCCC(C2)O
D01JSA , CC1=CC(=CC(=C1CC(C(=O)NC(CCCN=C(N)N[N+](=O)[O-])C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCCNC(=O)OCC3=CC=CC=C3)C(=O)N)N)C)O
D01JTI , C1=CC(=CC(=C1)Br)C(F)(F)S(=O)(=O)N
D01JTY , CCCCCN1C=C(C2=CC=CC=C21)C(=O)CC3=CC=C(C=C3)F
D01JUF , CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
D01JUI , CC1=CC=C(C=C1)C2=CC3=C(C=C2)C(=CN=C3N=C(N)N)Cl
D01JVG , C1=CC(=CC=C1C2=CC=C(S2)C3=CC(=CC(=C3)F)O)O
D01JVP , CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=C(C=C3)I
D01JWT , C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCCCCCCCN3C=CN=C3
D01JXM , CC(C)(C)C1=CC=C(C=C1)SCCC2=CN=CN2
D01JYF , COC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)OC)CC=C
D01JYY , CC(C)CN(C1CCNC1)C(=O)C2=CC3=CC=CC=C3C=C2
D01JZO , C1=CC(=CC=C1CN2C=CN=C2)Cl
D01JZV , C1CN(CCC1NC(=O)CSC2=NC3=C(S2)C=C(C=C3)N)CC4=CC(=C(C=C4)Cl)Cl
D01KAH , CC(=NCC1=CC(=CC=C1)OC)N.Cl
D01KAM , C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OCCO[N+](=O)[O-])O
D01KAX , CC(CN1C2=C(C=CC(=C2)O)C=N1)N
D01KCA , CCNCCCNCC=CCNCCCNCC
D01KDQ , CC[N+](CC)(CC)CCO
D01KEE , C=O
D01KEH , CC(C=CC=C(C)C1CNC(C1CC(=O)O)C(=O)O)C(=O)O
D01KHH , CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
D01KHW , CC(C)C(C(=O)N)NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CC5=CNC=N5)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CO)NC(=O)C
D01KHX , CC1(C(C(C2=C(O1)C=CC(=C2)S(=O)(=O)C3=CC=CC=C3)N4CCCC4=O)O)C
D01KIH , C1CN(CCN1CC2=CC=CC=C2)C3=CC=CC4=C3N=CN4
D01KIJ , C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=C(C=NN4)F
D01KIS , CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)N2CCOCC2)NC(=O)C(CC3=CC=CC=C3)CC(C(CC4=CC=CC=C4)NC(=O)OC(C)(C)C)O
D01KIU , C1CCC(CC1)(C2=CC=CC=C2)C(=O)OCCN3CCOCC3
D01KJU , C1=CC(=CC=C1C2=CC3=C(C=C2)C(=C(C=C3)O)Cl)O
D01KJZ , CCNC(=O)NCCOC1=C(N(N=C1C(=O)NN2CCCC2)C3=CC=CC=C3Cl)C4=CC=C(C=C4)Cl
D01KKC , CC(C)(C)C1=CC=CC=C1N2CCN(CC2)C(=O)NCC(=O)O
D01KKE , CC1=CC(=C2CCN(C2=N1)C3=C(C=C(C=C3)OC)C)N4C=CC(=N4)N5CCNC5=O
D01KKQ , CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1
D01KKU , C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O
D01KMI , CCCCN1CCC(CC1)COC(=O)C2=C3C(=CC=C2)OCCO3
D01KMR , CC1(CC(CC(C1)(C)N)(C)C)C
D01KMW , COC1=C(C=CC(=C1)N2C=NC3=C(C2=O)SC(=C3)C4=CC=C(C=C4)Cl)OCC(C5CC5)OP(=O)(O)O
D01KNY , CCOCC1=NC2=NC=CN=C2C(=O)N1
D01KNZ , CCCN1C(=O)C2=C(N=C(N2)C3=CC=C(C=C3)OCC(=O)O)N(C1=O)CC4=CC(=C(C=C4)N)I
D01KOA , CC1=C2C(=CC(=CN2N=C1)OCC3CNCCO3)C4=CN=C(C=N4)N5CC6CC(C5)N6CC7=CN=C(C=C7)OC
D01KOI , C1=CC(=CC=C1C2=CSC(=N2)N)O
D01KOO , CC1(OCC(O1)COS(=O)(=O)N)C
D01KPN , CC(C)C1=CC=C(C=C1)CC(=O)N2CCCC(C2)C3=CC(=CC=C3)OC(C)(C)C(=O)O
D01KPV , CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
D01KPW , CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl
D01KPX , CCC1=CSC(=N1)NC(=S)NCCC2=CC=CC=C2
D01KQA , C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O
D01KSR , C1=CC(=CC=C1C2=NC3=CC(=C(C=C3O2)O)Cl)O
D01KTG , CC(C)N1C2=C(C(=O)N(C2C3=CC=C(C=C3)Cl)C4=CC(=CN(C4=O)C)Cl)N=C1C5=CN=C(N=C5OC)OC
D01KTM , COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O
D01KTN , CCC=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C
D01KVG , C1CC2=C3C(=CC=C2)NC(=O)C3(C1)CCCCN4CCC(=CC4)C5=CC=CC=C5
D01KVT , CCN(CCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCN(CC)CC2=CC=CC=C2OC)CC3=CC=CC=C3OC
D01KWU , CCCN1CC(CC2C1CC3=C(C2)C(=CC=C3)O)NS(=O)(=O)N(CC)CC
D01KYM , CC(C)(C)C(=O)NC1CCCCNC1=O
D01KYP , CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl
D01KZC , CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(CC1)C(=O)OCC(COC(=O)N(CC2=CC=CC=[N+]2CC)C(=O)C3=CC=CC=C3OC)OC.[Cl-]
D01KZF , COC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=C(C=C3)F
D01LAC , C1=CC(=CC=C1CCC(=CF)CN)F
D01LAP , C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N
D01LAU , CC(=O)NCCC1=CNC2=C1C=C(C=C2)NC(=O)OC
D01LCC , C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1
D01LCS , C1CCC(C1)OC2=CC=CC(=C2O)C3=NC4=C(N3)C=C(C=C4)C(=N)N
D01LDO , C(CCC(C(=O)O)N)CCP(=O)(O)O
D01LDQ , CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)NO)O
D01LEV , C1=CC=C2C(=C1)C(=CC3=C(C=CS3)Br)C(=O)N2
D01LFP , C1=CC=C(C=C1)CC(C(=O)NCC2=CC=C(C=C2)Cl)C(=O)NO
D01LKO , C1=CC=C(C=C1)CC(C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NCC(=O)NCC(=O)N)NC(=O)C(CC4=CNC5=CC=CC=C54)N
D01LMH , CCCCCCCCCCCCCCCC(=O)NCCCCC(C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)CN
D01LMW , COC(=O)C1=CC2=CC(=CN=C2N1)NCC3=CC=CC=C3C(F)(F)F
D01LNG , CCCN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3(CCCCC3)C(=O)NCC#N
D01LOJ , CCN(CC)C(=O)CC1=C2N=C(C=C(N2N=C1C3=CC=C(C=C3)OC)C)C
D01LOU , C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3O2)CN4C=CN=C4)[N+](=O)[O-]
D01LPG , C1=CC(=CC=C1NC2=CN=CC(=N2)Cl)S(=O)(=O)N
D01LPX , C1=CC=C(C=C1)S(=O)(=O)NCCC2=CC=C(S2)OCC(=O)O
D01LQC , C1=CC=C(C=C1)NC2=NC(=NC3=C(C=NN32)C#N)NCC4=CC=C(C=C4)Cl
D01LRC , CCCCCCCCC=CC1=C(C(=C2CCC[N+]2=C1C)C=CCCCCCCCC)C
D01LRH , C1=CC2=C(C3=C(C2(CC4=CC=NC=C4)CC5=CC=NC=C5)C=CC=N3)N=C1
D01LUB , CC1=CC(=O)OC2=C1C=CC(=C2C)OC3CCCCC3=O
D01LUJ , C1=CN=C(N=C1Cl)NCCSCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O
D01LVE , CC1=NOC2=C1C3=CC=CC=C3C(=NC2CC(=O)N)C4=CC=C(C=C4)Cl
D01LVY , CC1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3SC4=CC=CC=C42
D01LWJ , C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
D01LWO , CC1C(=O)NC(C(=O)NC(C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(CSSCC4C(=O)NCC(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCSC)CCC(=O)N)CC5=CNC=N5)CC(=O)O)C(C)O)C(C)O)CC6=CC=CC=C6)NC(=O)C7CCCN7C(=O)C(NC(=O)C(CSSCC(C(=O)N4)NC(=O)C(NC(=O)C(NC2=O)CC(=O)O)CC(=O)O)NC(=O)C(CCSC)N)CCSC)C(=O)NC(C(=O)NCC(=O)N8CCCC8C(=O)NC(C(=O)N3)CCC(=O)N)CC9=CC=C(C=C9)O)CCCCN)CCCNC(=N)N)CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)N)CC(C)C)CCCCN)CCCNC(=N)N
D01LXD , CC(C)C(C(=O)NC(C)C(=O)NC1C2=CC=CC=C2CCN(C1=O)C)O
D01LYX , CCCCCCCNC(=O)OC1=CC2=C(C=C1)N(C3C2(CCN3C)C)C
D01MAC , CCCCNC(=O)OC1COC2C1OCC2O[N+](=O)[O-]
D01MAN , CC1=NC2=C(C=C1)C=CC(=C2)C3=CC(=C(C=C3)OCC4=CC=CC=C4)C#N
D01MAU , C1C2CN(CC2CN1)C(=O)C3=CC=C(O3)Cl
D01MBF , C1CNCCC1C2=C(C=CC=C2F)OC3=CC=C(C=C3)F
D01MBG , CSCCC(C(=O)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CS
D01MBR , CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC(=CC=C2)NC(=NCCCN3CCN(CC3)C4=CC(=CC=C4)OC)NC#N)C(=O)OC
D01MBV , CCCCN1CCC(CC1)CNC(=O)C2=C3N(CCCO3)C4=CC=CC=C42.Cl
D01MCD , CC(C(=O)NC1CC(OC2=C1C=C(C(=N2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl)(C)C)O
D01MDE , C(=CC(=O)[O-])C(=O)[O-]
D01MDT , C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
D01MEA , CCCCC1CSCCC(=N1)N
D01MEP , C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3
D01MFK , CC1(C(=C(C(=O)O1)C2=CC(=CC=C2)F)C3=CC=C(C=C3)S(=O)(=O)C)C
D01MFM , CC1=CC(=CC(=C1CC(C(=O)NC(CCCN=C(N)N[N+](=O)[O-])C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCCNC(=O)OCC3=CC=CC=C3)C(=O)O)N)C)O
D01MFT , C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
D01MFV , C1=CC=C(C=C1)NC(=O)CCC(=O)NCCS
D01MGA , CC(C(=O)NC(C)C(=O)NC1C2C1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N.CS(=O)(=O)O
D01MGI , C1CC2CC1C(=O)NC(C(=O)NCC(=O)NC(C(=O)N2)CC(=O)O)CCCN=C(N)N
D01MHI , CC1=C(OC2=NC3=C(CCCC3)C(=C12)NC(=O)CN4CCCC4=O)C
D01MHL , C1CN(CCC1CCCOC2=CC=C(C=C2)C(=N)N)CCCOC3=CC=C(C=C3)C(=N)N
D01MHO , CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)OS(=O)(=O)O
D01MHP , CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1OC(=O)CNC(=O)OCC6=CC=CC=C6)O4)O)O)OC(=O)C7=CC=CN7)(C(C)C)O)C)O)C)O
D01MIP , CC1=CC(=C(N1)C=C2C3=C(C=CC(=C3)Cl)NC2=O)C
D01MJF , CCCCCCCC(C)(C)C1=CC=C(C=C1)C2CCCC(C2)O
D01MKM , C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)NC(CCC3=CC=CC=C3)C(=O)NC(CC4=CC=CC=C4)C(=O)N
D01MLQ , C1CN(CCC1CC2=CC=CC=C2)C(=O)C3=CC=CC=C3F
D01MML , B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)C(CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl
D01MMM , CC1=CC(=C(C(=C1)OCC(C(C)(C)O)O)O)C(=O)C2=C(C=CC(=C2C=O)O)CC=C(C)C
D01MMT , C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
D01MMU , CNC1=CC=C(C=C1)C2=CC3=C(O2)C=CC(=C3)OC
D01MNK , CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NC(CO)C(CO)O
D01MOQ , CCCC1=CC(=O)C2=C(N1)N=C(C=C2)C
D01MPC , CCC(CC)(CC1=CC=C(S1)C(=O)OC2=C(C=C(C=C2)C(=N)N)F)C(=O)NCCCCC(=O)O
D01MPE , CC1=NC(=NN1)N
D01MPK , CN1C(=O)CC(C1=O)C2=CC=C(C=C2)N
D01MPX , C1=CC(=C(C(=C1OCC2=NC3=C(S2)N=CC(=C3)Cl)F)C(=O)N)F
D01MSM , C1=CC2=C(C=C1[N+](=O)[O-])C(=CC(=O)C(=O)N2)O
D01MSP , CC1=CC(=C(C=C1OCC2=C(C(=CC=C2)C3=CC4=C(C=C3)OCCO4)C)OCC5=CC(=CC=C5)C#N)CNC(CO)C(=O)O
D01MSZ , CC1=CC(=C(C=C1)C(=O)OC)C(=O)NC2=NC(=CS2)Cl
D01MUN , C1=CC=C2C(=C1)N=CN2C3=CC=C(C=C3)N
D01MUR , CCNC1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
D01MUU , C1CCC(CC1)C(C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=N)N)NCC(=O)O
D01MUV , CC(C)(C)C1(CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3)O
D01MVX , C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCCCCCCCNC4=CC=NC5=CC=CC=C54
D01MWX , C1CC1C(=O)NC2=CC3=C(C=C2)C(=O)C4=C(C3=O)C=C(C=C4)NC(=O)C5CC5
D01MXK , CC1=CC2=C(C=C1)NC=C2CN3CCC(CC3)NC(=O)C(CC4=CNC5=CC=CC=C54)N
D01MXN , C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC5=C(C=C4)NC=C5
D01MXV , CCNCC(C1=CC(=CC=C1)O)O
D01MYO , CN(C)C1=CC=C(C=C1)C2=CC=C(C=C2)CN(C3=CC=CC(=C3)C=CC(=O)OC)C(=O)C4CCCCC4
D01NAM , C1CCN(CC1)C2=NC(=O)N(C2)C3=CC=C(C=C3)Cl
D01NBF , CC1=CCC2C(C1CCC(C)CC(=O)O)CCC(C2(C)C)OC(=O)C=CC3=CC=C(C=C3)O
D01NBK , CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
D01NBW , C1CCC(CC1)NC2=NC(=NC3=C2C=CN3)C4=CC=CC=C4
D01NBX , C1CC2CC(=O)N3C4=C(C5=C3C2C(C1)C(C5)N)C(=CC=C4)O.Cl
D01NCH , COCCNC(=O)C1=CC(=NC=C1)C(=O)NCCOC
D01NCW , CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C)C(=O)NC(CC(C)C)C=CS(=O)(=O)C)NC(=O)OCC2=CC=CC=C2
D01NDE , CCCCCCCCCCCCSCC(=O)C(F)(F)F
D01NEC , CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl
D01NEZ , CC(C)C(C(C(=O)N1C2CC(C(CC2CC1C(=O)NCCC3=CC[N+](=C(N)N)C3)O)O)NC(=O)C(COS(=O)(=O)[O-])OC)Cl
D01NFH , CCC(=O)N1CCC(CC1)NC(=O)NC2CCCCC2
D01NHH , CC(C)(C)C1=NC2=C(N1)C(=CC(=N2)C3=CC=CC=C3)C4=CC=CC=C4
D01NID , CC(C)NCC1=CC=C(C=C1)CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC3=CC4=CC=CC=C4C=C3)CC5=CC=CC=C5)CC6=CC=CC=C6)CCCCN)N)C(=O)O)CO)C)C(C)O)CC7=CC=CC=C7)C(C)O
D01NIR , CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5
D01NJI , CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
D01NJT , CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3
D01NJW , C1CSCCC1C2=C(C=C(C=C2)O)O
D01NLB , CC1C(=O)NC(C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(CSSCC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)N1)CCCCN)CCCCN)N)C(=O)NC(C(=O)NCC(=O)NC(C(=O)N3)CO)C(C)O)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CCCNC(=N)N)CC(C)C)CCSC)CC4=CC=C(C=C4)O)CC(=O)O)C(=O)N)CCCCN)CO)CCCNC(=N)N)CCCCN
D01NMN , CC1=CC(=C(N1CCNC(=O)C)C)C=O
D01NNL , [O-]P(=O)=O
D01NOZ , CN1C2=C(C=CC(=C2)NC(=O)COC3=CC=C(C=C3)C(F)(F)F)N=C1N(C)CCN(C)C
D01NPA , CC(C)CC(C(=O)NC(CCSC)C(=O)N)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C(CC2=CN=CN2)N
D01NQM , CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F
D01NST , C1CC(CCC1C(CC2C3=C(C=CC=C3F)C4=CN=CN24)(F)F)O
D01NTI , C1CCC(CC1)NC2=NC(=NC3=C2NC=N3)NCC4=CC=CC=C4
D01NTM , CC(CN1CCC2=CC(=C(C=C21)SC)F)N
D01NTN , CCCCCCOC1=C(C=C(C=C1Br)CCC(=O)O)Br
D01NTW , C1=CC(=C(C=C1C=C(C#N)C(=O)N)O)O
D01NTX , CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)C(C)NC(=O)CCC(C(=O)N)NC(=O)C(C)NC(=O)C(C)OC1C(C(OC(C1O)CO)O)NC(=O)C)OC(=O)CCCCCCCCCCCCCCC
D01NTY , C12=C(N=C(NC1=O)N)N=C(N2)I
D01NUR , CC1CN(C(CN1)CN2CCOCC2C)CC(=O)N3CC(C4=C3C=C(C(=N4)CO)CC5=CC=C(C=C5)F)(C)C
D01NUT , CC(=CCCC(=CCC1=C(C=CC2=C1OC(=C2)C3=C(C(=CC(=C3)O)O)CC=C(C)C)O)C)C
D01NVD , CC1=C(C(=NO1)C)C2=CC=C(C=C2)CNC(=O)C3=CN=C4C(=C3Cl)C(=NN4C)C
D01NVL , C1=CC2=C(C3=C(C=C2)C4=C(C=CC(=C4)Cl)S(=O)(=O)N3)N=C1
D01NVM , CC1=NC=CC(=C1)C2=C(C(=NC3=C2CCCCC3)C4(CCCC4)CO)C5=NNN=N5
D01NWQ , CC1=C(C=CC(=C1)Br)NC(=O)C2=CC3=CC=CC=C3C=C2
D01NWS , C1=CC=C(C=C1)C2=CC=C(C=C2)CCC(=O)C3=NC=CO3
D01NWU , COC1=C(C(=CC=C1)OC)C(=O)NC2CCCC2NC3=NC4=C(S3)C=C(C=C4)F
D01NZS , C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCCCN3C=CN=C3
D01OAG , CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
D01OBJ , COC1=C(C2=C(C=C1)NC3=C2C=CN=C3)Br
D01OCR , CCC(CCS)S(=O)(=O)C1=CC=C(C=C1)OC
D01OCZ , CC(C)C=C1CC2C3CCC4=C(C3CCC2(C1=O)C)C=CC(=C4)O
D01ODR , CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O
D01ODU , C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4CC5C(C4)OCCN5)F)C(=O)O.Cl
D01OEF , COC1=CC=C(C=C1)NC2=NC3=C(O2)C=CC(=C3)OC4=C5C(=NC=C4)C=C(S5)C6=NC=C(C=C6)CN7CCCC7=O
D01OFD , CCC(CC(C)C(=O)O)C(=O)CCC1=CC(CC(=CC(C(C(CCC(OC(=O)CC(CC(=O)OC1)C(=O)O)CCCCC=CC(C)CCC(C)OC(=O)CC(CC(=O)O)C(=O)O)C)O)C)C)C
D01OFH , COC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)O)CC=C
D01OFO , C1CNCCC1N2C=C(N=C2)C(CC3=CN=C(C=C3)N)C(=O)O
D01OFY , CN1C=C(C(=O)C2=CC=CC=C21)NS(=O)(=O)C
D01OGZ , C1CN(CCN1CCO)C2CC(C3=C2C=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)F
D01OHV , C12=NNN=C1N=C(NC2=O)N
D01OIJ , CC1=C(N=C(N1)C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)NC(CCCN=C(N)N)C(=O)O
D01OIK , C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O
D01OIL , CNCC(C(C(C(CO)O)O)O)O.CNCC(C(C(C(CO)O)O)O)O.C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-])CC(=O)O.[Gd+3]
D01OIV , COC1=C(C=C(C=C1)CCNCC(C2=CC(=C(C=C2)O)O)O)OC
D01OJG , C1=CC=C(C=C1)C2=C(C(=O)NC2=O)NC3=CC=CC=C3
D01OKF , CC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)N(CCCl)CCCl
D01OLO , CC1=CC(=O)N(C1=O)NC2=NC(=NC3=C2C(=CC=C3)OC)C4=CC=CS4
D01OMG , C1=CC(=CC(=C1)C2=NC(=NO2)C3=CN=CC=C3)C#N
D01OND , CN(C)C1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2
D01OPV , C[Se]CCC(C(=O)O)N
D01OQQ , CN1C=C(C=C(C1=O)C(=O)NC2=CC=CC(=C2C#N)C3=CC4=C(C=C3)OCCO4)CNCCO
D01OQW , CC1=CC2C3C(C1)C4=C(C=C(C=C4)O)OC3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O
D01ORL , C1CN(CCC1CC2=CC=CC=C2)CC3=CC4=C(N3)C=C(C=C4)O
D01ORM , CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)[N+](=O)[O-]
D01OTW , C1=CN=CC(=C1SCC#N)S(=O)(=O)N
D01OUE , C1=C(NN=C1)CCN
D01OUJ , B(C1CCCN1C(=O)C(C(C)C)[NH3+])(O)O
D01OXH , CC(COC1=CC(=C(C=C1)C(=O)N2CCC(C(=CC(=O)NCCO)C3=C2C=CC(=C3)F)(F)F)C(F)(F)F)F
D01OXI , C(CCl)NC(=O)N(CCCl)N=O
D01OXV , CNC1=NC(=NC=C1C(F)(F)F)NC2=C(N(N=C2)C3CCN(CC3F)C4COC4)Cl
D01OYC , CCC(C)OC1=CC=CC2=C1N=C(C=C2)N
D01OYG , CC12CC3C4C(C1CCC2(C=CCO)O)CCC5=CC(=O)CCC45CC6=C3C=CC(=C6)C7=CC=C(C=C7)C#N
D01OYY , CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)NC3=NC=CC(=N3)C4=CN=CC=C4
D01OZF , C1COCCN1CCCOC2=CC=C(C=C2)NC(=O)NC3=CC=CC=C3
D01OZL , CCC(C)COC1=CC=CC2=C1N=C(C=C2)N
D01OZO , CN1C=C(N=C1)S(=O)(=O)NC2CN(C2)C3=CC4=C(C=C3)OCC(C4CC5=CC=CC=C5)N6CCC6
D01OZS , CC(C)C1(CCOC1=O)C(C)C
D01PAC , C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=CC=C5I
D01PBO , C1C(C(C(O1)C2=CC(=C(C=C2)O)O)CO)C(C3=CC(=C(C=C3)O)O)O
D01PBW , C1=CC=NC(=C1)CC(=O)NC2=NN=C(S2)CCCCC3=NN=C(C=C3)NC(=O)CC4=CC(=CC=C4)OC(F)(F)F
D01PEC , CC(C(=O)NC1CC2(CCCCC2)OC3=C1C=C(C(=N3)C4=CC=CC=C4Cl)C5=CC=C(C=C5)Cl)O
D01PEF , CN1C=C(C2=C1NC=CC2=O)C3=NC(=NC=C3)N
D01PES , C1=CC=C(C=C1)NCC2=CC3=CC=CC=C3N2
D01PFN , C1CC(C1)COC2=CC=CC3=C2N=C(C=C3)N
D01PGJ , C1C(NC(=O)C1(C[N+]2=CC=CC=C2)N)C(=O)O.Br.[Br-]
D01PGO , CCCOC(=O)C1=C(C(=C(N1)C)C(=O)OC(C)C(C)(C)C)C
D01PGR , CCN1C2=NC(=NC(=C2C=C(C1=O)C3=CC=NN3)C)N
