ttid , smile
D00BIE , CC1C(=O)NC(C(=O)NC(C(=O)NC(CCCCNC(=O)CC(C(=O)N1)NC(=O)C(C(C)O)NC(=O)C(CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)C(CC3=CC=CC=C3)N)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)N)CCCCN)CCCN=C(N)N
D00BIY , CCCCC1=C(C(=O)NC(=N1)CCCC)CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4
D00BLD , C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O
D00BLL , CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=CC(=O)O)C(=O)O
D00BLY , CC(C)SC1=CC(=C(C=C1)C#N)OC
D00BMF , C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N
D00BMI , C1=NN=C(S1)NS(=O)(=O)N
D00BND , CCOC1=CC2=C(C=C1)C(=C3CCN(CC3)C)C4=C(C=CC=C4S2)OC
D00BNE , C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
D00BOY , B(C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C1=CC=CC(=N1)C2=CC=CC=C2)(O)O
D00BPA , CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3
D00BQR , C1=CN(C2=NC(=NC(=C21)N)Cl)C3C(C(C(O3)CO)O)F
D00BRD , C1=CC(=CC=C1C=O)O
D00BSX , CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2)C=C(C=C3O)O
D00BTW , CC1=C(C=CO1)C(=S)NC2=CC(=C(C=C2)Cl)OCC=C(C)C
D00BUR , C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=C(C=C3)F)C(=O)N
D00BVP , COC1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)CN4C=CN=C4
D00BWF , CC1=C(C(=CC=C1)C(C)C2=CNC(=S)N2)C
D00BWZ , C1CN(C2=CC=CC=C21)C(=O)NC3=CN=CC=C3
D00BXG , C1C(N(CC2=CC=CC=C21)C(=O)C(CC3=CC=C(C=C3)O)N)CNC(CC4=CC=CC=C4)C(=O)NC(CC5=CC=CC=C5)C(=O)O
D00BXK , C1=CC=C(C(=C1)N2C(=C(C(=N2)C(=O)NC3=CC=C(C=C3)F)CC(=N)N)C4=CC=C(C=C4)Cl)Cl
