cid,isosmiles,canonicalsmiles
11656118,C1CCN(C1)CC2(CC(C2)C3=NC(=C4N3C=CN=C4N)C5=CC6=C(C=C5)C=CC(=N6)C7=CC=CC=C7)O,C1CCN(C1)CC2(CC(C2)C3=NC(=C4N3C=CN=C4N)C5=CC6=C(C=C5)C=CC(=N6)C7=CC=CC=C7)O
140509147,CC(=NC)C1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,CC(=NC)C1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O
24861348,CC1=CC(=NC2=C1C=CC(=C2F)C3=C4C(=NC=CN4C(=N3)C5CC(C5)O)N)C6=CC=CC=C6,CC1=CC(=NC2=C1C=CC(=C2F)C3=C4C(=NC=CN4C(=N3)C5CC(C5)O)N)C6=CC=CC=C6
57874884,C1C[C@H](CNC1)NC(=O)[C@@H]2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6,C1CC(CNC1)NC(=O)C2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6
152901734,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5C[C@H](C[C@H]5C(=O)NC6=CN=C(C=C6)F)N=NN,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5CC(CC5C(=O)NC6=CN=C(C=C6)F)N=NN
89150074,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5C[C@@H](C[C@H]5C(=O)NC6=CN=C(C=C6)F)S,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5CC(CC5C(=O)NC6=CN=C(C=C6)F)S
57680677,C1C[C@H](CN(C1)C(=O)[C@@H]2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6)N,C1CC(CN(C1)C(=O)C2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6)N
57680736,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)C(F)(F)F,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)C(F)(F)F
57680772,C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CC(=NC=C6)F,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CC(=NC=C6)F
57680665,CN1CCC(CC1)NC(=O)[C@@H]2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6,CN1CCC(CC1)NC(=O)C2CCCN2C3=NN4C=CC=C4C(=N3)NC5=NNC(=C5)C6CC6
24785806,C1C[C@H](N(C1)C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,C1CC(N(C1)C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
71017076,C[C@H]1C[C@H](N(C1)C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,CC1CC(N(C1)C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
89150061,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5C[C@H](C[C@H]5C(=O)NC6=CN=C(C=C6)F)N7CC(C=N7)Br,C1CC1C2=CC(=NN2)NC3=NC(=NN4C3=CC=C4)N5CC(CC5C(=O)NC6=CN=C(C=C6)F)N7CC(C=N7)Br
22379809,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4)C5=CC=C(C=C5)NC(=O)NCC6=CC=CC=C6,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4)C5=CC=C(C=C5)NC(=O)NCC6=CC=CC=C6
11049675,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCCCC5,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCCCC5
10207775,CC1(CC1)C2=NN(C(=C2)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5)C6=CC=CC=C6,CC1(CC1)C2=NN(C(=C2)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5)C6=CC=CC=C6
22147190,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOC6=CC=CC=C65,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOC6=CC=CC=C65
11060841,CC(=O)NC1=CC(=CC=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,CC(=O)NC1=CC(=CC=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
10187148,C1CCC(CC1)C2=NN(C(=C2)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5)C6=CC=CC=C6,C1CCC(CC1)C2=NN(C(=C2)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5)C6=CC=CC=C6
68107492,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5.Cl,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5.Cl
70651338,CCCC(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4)C5=CC=C(C=C5)C,CCCC(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4)C5=CC=C(C=C5)C
69688465,CC1=CC=CC=C1N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,CC1=CC=CC=C1N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
154441477,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4CCC5=CC=CC=C5)C,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C3=CC=CC=C32)OCCN4CCOCC4CCC5=CC=CC=C5)C
166812093,CC1=CC(=NN1)NC2=NC(=NC(=C2)C3CCN(CC3)C(C)(C)C)SC4=CC=C(C=C4)NC(=O)C5CC5,CC1=CC(=NN1)NC2=NC(=NC(=C2)C3CCN(CC3)C(C)(C)C)SC4=CC=C(C=C4)NC(=O)C5CC5
89171520,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)CCCCCC(=C)NO,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)CCCCCC(=C)NO
68099076,CCCC1=CC(=NN1)NC2=NC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)CC)N4CCN(CC4)C,CCCC1=CC(=NN1)NC2=NC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)CC)N4CCN(CC4)C
126710518,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C(=O)CCC(C)C,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C(=O)CCC(C)C
10071957,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N(C)CCNC)NC3=NNC(=C3)C,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N(C)CCNC)NC3=NNC(=C3)C
25071500,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CCC(CC3)N(C)C(C)(C)C)NC4=NNC(=C4)C,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CCC(CC3)N(C)C(C)(C)C)NC4=NNC(=C4)C
10388447,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CCNCC3)NC4=NNC(=C4)C,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CCNCC3)NC4=NNC(=C4)C
10434706,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CC(NC(C3)C)C)NC4=NNC(=C4)C,CCC(=O)NC1=CC=C(C=C1)SC2=NC(=CC(=N2)N3CC(NC(C3)C)C)NC4=NNC(=C4)C
25125482,[2H]N1C(=CC(=N1)N([2H])C2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C)C,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C
25125819,[2H]N1C(=CC(=N1)N([2H])C2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C)C.OP(=O)(O)O,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C.OP(=O)(O)O
66550892,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)Cl)OCCCN5CCOCC5,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)Cl)OCCCN5CCOCC5
18186973,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5
68678178,CNCCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OC,CNCCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OC
44528496,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5
