cid,isosmiles,canonicalsmiles
90744896,CCC1=C[C@@H]2C[C@@](C3=C(CN(C2)C1)C4=C(N3)C=CC(=C4)C=CC(=O)OC(C)(C)C)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7C([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)C(=CC9)CC)OC)C(=O)OC,CCC1=CC2CC(C3=C(CN(C2)C1)C4=C(N3)C=CC(=C4)C=CC(=O)OC(C)(C)C)(C5=C(C=C6C(=C5)C78CCN9C7C(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)C(=CC9)CC)OC)C(=O)OC
71450164,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=C(N3)C(=CC=C4)I)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=C(N3)C(=CC=C4)I)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
143025444,CC[C@@]1(CC2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7[C@@](C=CC9)([C@H]([C@@](C8N6C)(C)O)OC(=O)C)CC)OC)C(=O)OC)O,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C)O)OC(=O)C)CC)OC)C(=O)OC)O
59887116,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC)CC)OC)C(=O)OC)O,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC)CC)OC)C(=O)OC)O
6325031,CC1=C2[C@H](C(=O)[C@]3([C@H]([C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H](C(C4=CC=CC=C4)NC(=O)C5=CC=CC=C5)O)O)OC(=O)C6=CC=CC=C6)[C@@]7(CO[C@@H]7CC3O)OC(=O)C)C)O,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)O
146625257,C/C=C(\C)/C(=O)N[C@@H](C1=CC=CC=C1)[C@H](C(=O)O[C@H]2CC3([C@H]([C@H]4[C@@]([C@H](C[C@@H]5[C@]4(CO5)OC(=O)C)O)(C(=O)[C@@H](C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O,CC=C(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)O)(C(=O)C(C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O
117704642,CC1[C@H](C[C@]2([C@H]([C@H]3[C@@]([C@H](C[C@@H]4[C@]3(CO4)OC(=O)C)OC)(C(=O)[C@@H](C1C2(C)C)OC)C)OC(=O)C5=CC=CC=C5)O)OC(=O)[C@@H]([C@H](C6=CC=CC=C6)NC(=O)OC(C)(C)C)O,CC1C(CC2(C(C3C(C(CC4C3(CO4)OC(=O)C)OC)(C(=O)C(C1C2(C)C)OC)C)OC(=O)C5=CC=CC=C5)O)OC(=O)C(C(C6=CC=CC=C6)NC(=O)OC(C)(C)C)O
91427896,CC1C(CC2(C(C3C(C(CC4C3(CO4)OC(=O)C)O)(C(=O)C(=O)C1C2(C)C)C)OC(=O)C5=CC=CC=C5)O)OCC(C(C6=CC=CC=C6)NC(=O)OC(C)(C)C)O,CC1C(CC2(C(C3C(C(CC4C3(CO4)OC(=O)C)O)(C(=O)C(=O)C1C2(C)C)C)OC(=O)C5=CC=CC=C5)O)OCC(C(C6=CC=CC=C6)NC(=O)OC(C)(C)C)O
143740340,CC1C2=C([C@H](C[C@]1([C@H]([C@H]3[C@@]([C@@H](C[C@@H]4[C@]3(CO4)OC(=O)C)O)(C(=O)[C@@H]2O)C)OC(=O)C5=CC=CC=C5)O)OC(=O)[C@@H]([C@H](C6=CC=CC=C6)NC(=O)OC(C)(C)C)O)C,CC1C2=C(C(CC1(C(C3C(C(CC4C3(CO4)OC(=O)C)O)(C(=O)C2O)C)OC(=O)C5=CC=CC=C5)O)OC(=O)C(C(C6=CC=CC=C6)NC(=O)OC(C)(C)C)O)C
58803233,CCC(C)C(=O)N[C@@H](C1=CC=CC=C1)[C@H](C(=O)O[C@@H]2C[C@@]3([C@H]([C@H]4[C@@]([C@H](C[C@H]5[C@]4(CO5)OC(=O)C)O)(C(=O)[C@@H](C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O,CCC(C)C(=O)NC(C1=CC=CC=C1)C(C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)O)(C(=O)C(C(=C2C)C3(C)C)OC(=O)C)C)OC(=O)C6=CC=CC=C6)O)O
124937984,CC1=C2[C@H](C(=O)[C@]3([C@H](C[C@@H]4[C@@]([C@H]3[C@H]([C@@](C2(C)C)(C[C@H]1OC(=O)[C@@H]([C@@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)O,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)O
141887846,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC1C2=C([C@]3(C2(C(C3)([C@H]([C@H]4[C@@](C1=O)(C(C[C@@H]5[C@]4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6)O)C)OC(=O)[C@@H](C(C7=CC=CC=C7)NC(=O)OC(C)(C)C)O)C,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC1C2=C(C3(C2(C(C3)(C(C4C(C1=O)(C(CC5C4(CO5)OC(=O)C)O)C)OC(=O)C6=CC=CC=C6)O)C)OC(=O)C(C(C7=CC=CC=C7)NC(=O)OC(C)(C)C)O)C
58765957,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@@H](C5=CC=CC=C5)NC(=O)CCCCC=C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)CCCCC=C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C
144364565,CC.CCC(C(=O)O[C@H]([C@H](C1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)O[C@H]2CC3([C@H](C4[C@@]5(COC5CC(C4(C(=O)C(C(=C2C)C3(C)C)C)C)OF)OC(=O)C)OC(=O)C6=CC=CC=C6)O)O.CC(C)C,CC.CCC(C(=O)OC(C(C1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)OC2CC3(C(C4C(C(CC5C4(CO5)OC(=O)C)OF)(C(=O)C(C(=C2C)C3(C)C)C)C)OC(=O)C6=CC=CC=C6)O)O.CC(C)C
